Course#,Professor,Total_Q,%Response,#Contributions,Avg_Response_Time,Enrolled,instructor_response,%Active,semester
PHYS 2213 S19,Alan Giambattista ,473,100%,1895,22,259,63%,47%,SP19
MATH 2930,Alan Zehnder ,390,99%,1398,39,417,74%,43%,SP20
MATH 1920,Reyer Sjamaar ,323,100%,1281,49,543,74%,31%,FA18
ENGRD 2700,Yudong Chen ,200,99%,546,40,162,88%,50%,FA19
ECE/ENGRI 1210,David Albonesi ,341,100%,1204,26,135,90%,58%,SP19
CS 3220,Anil Damle ,83,95%,252,24,37,94%,73%,FA19
CS 2800,Michael George ,1198,97%,4700,20,419,85%,60%,SP19
CS 2110,Anne Bracy ,1231,100%,5196,9,618,86%,57%,FA18
CS 2850,David Easley ,844,97%,2799,39,506,69%,61%,FA19
MATH 2930,Alex Townsend ,745,98%,3158,40,430,70%,54%,FA18
PHYS 2218,Andre Leclair ,117,99%,587,7,28,68%,75%,SP19
MATH 2940,Adrian Lewis ,696,97%,2527,44,482,71%,47%,SP19
CS 4700,Haym Hirsh ,409,99%,1875,22,238,96%,55%,SP20
CS 2110,David Gries ,2147,100%,11442,3,721,91%,58%,SP19
CS 2043,Ronald Dinapoli ,203,100%,906,22,145,94%,60%,SP20
CS 1110,Walker White ,3825,100%,11364,10,716,97%,69%,FA18
ECE 3140,Jose Martinez ,1277,90%,4580,64,216,70%,100%,SP19
CHEM 2510,Thomas Ruttledge ,426,99%,1665,52,379,77%,42%,SP20
CS 1110,Walker White ,3825,100%,11364,10,716,97%,69%,FA18
CS 2110,David Gries ,1524,100%,5754,4,590,74%,57%,FA19
MATH 2940,Alex Townsend ,696,97%,2527,44,482,71%,47%,FA19
PHYS 2213 F19,Ivan Bazarov ,472,100%,2433,11,404,79%,51%,FA19
CS 1110,Daisy Fan ,336,100%,1559,20,405,90%,43%,SP20
ENGRD 2700,Jamol Pender ,136,99%,387,41,42,91%,83%,SP20
MATH 2930,Alan Zehnder ,173,98%,558,25,36,92%,89%,SP20
PHYS 1116,Liam McAllister ,46,83%,195,44,44,43%,32%,SP19
CS 4120,Andrew Myers ,433,98%,1678,40,84,83%,73%,SP20
CS 3410,Anne Bracy ,1167,100%,4743,16,197,84%,87%,FA18
CS 2112,Andrew Myers ,694,100%,2912,8,90,83%,89%,FA19
CS 2110,David Gries ,2216,100%,14115,1,667,99%,69%,SP20
CS 2800,Michael George ,1554,96%,4808,37,396,85%,72%,SP20
MATH 2940,Katya Scheinberg ,583,97%,2692,16,473,52%,53%,SP20
PHYS 2213 F19,Ivan Bazarov ,472,100%,2433,11,404,79%,51%,FA19
MAE 2030,Richard Rand ,193,90%,765,38,145,75%,57%,SP20
MATH 2930,Hadas Ritz ,616,99%,2029,43,403,64%,47%,SP19
PHYS 2213 Spring 2020,Alan Giambattista ,375,100%,1842,14,242,78%,57%,SP20
ENGRI 1140,"Christopher ""Kit"" Umbach ",209,93%,635,136,58,54%,84%,FA18
ECE/ENGRD 2720,Aaron Wagner ,217,97%,673,45,61,87%,84%,FA19
CS 2800,Michael George ,1101,96%,4073,17,424,78%,66%,FA19
ECE 2100/ENGRD2100,Clifford Pollock ,141,97%,536,83,56,89%,59%,SP20
ECE 2200,David Delchamps ,243,99%,963,11,80,94%,68%,SP20
MATH 2930,Steven Strogatz ,429,97%,1658,54,410,59%,43%,FA19
CS 3410,Hakim Weatherspoon ,2224,100%,8598,11,205,87%,90%,SP19
INFO/STS 4240,Phoebe Sengers ,349,100%,1246,20,201,95%,68%,FA18
CS 1110,Walker White ,2681,100%,8544,15,569,84%,73%,FA17
CS 2110,David Gries ,2036,100%,12742,6,662,90%,61%,SP18
CS 2800,Michael George ,1058,100%,6008,9,417,77%,63%,FA18
